TEMP_COLUMN,TEMP_DATA_TYPE,MAPPED_COLUMN,MAPPED_COLUMN_TYPE
TICKER,TEXT,Ticker,KEY
EQY_FUND_YEAR,INT,EqyFundYear,KEY
CRNCY,TEXT,Currency,DATA
PX_SCALING_FACTOR,DECIMAL,Scaling,DATA
FIN_CODE,TEXT,FinCode,KEY
FIN_VALUE,DECIMAL,FinValue,DATA
