TEMP_COLUMN,TEMP_DATA_TYPE,MAPPED_COLUMN,MAPPED_COLUMN_TYPE
TICKER,TEXT,Ticker,KEY
RSK_BB_ISSUER_DEFAULT,TEXT,BBRating,DATA
RSK_BB_ISSUER_DEFAULT_CHG_DATE,DATE,BBRatingDate,DATA
RSK_BB_ISSUER_DEFAULT_PRIOR_VAL,TEXT,BBRatingPrior,DATA
RTG_MDY_ISSUER,TEXT,MoodysRating,DATA
RTG_MDY_ISSUER_RTG_DT,DATE,MoodysRatingDate,DATA
RTG_MDY_OUTLOOK,TEXT,MoodysOutlook,DATA
RTG_MDY_OUTLOOK_DT,DATE,MoodysOutlookDate,DATA
